dimension,mode,elapsed_mean,best_value_mean,original_elapsed,speedup
5,batched_acqf_eval,62.85066666666667,167.2695963733847,162.5186666666667,2.585790657219229
5,multiprocessing,88.79866666666666,194.2571098956067,162.5186666666667,1.8301926455352187
5,original,162.5186666666667,194.2571098956067,162.5186666666667,1.0
5,stacking,59.374,168.12468400583256,162.5186666666667,2.7372025914822427
10,batched_acqf_eval,67.07333333333334,2296.7963930113833,155.64399999999998,2.320504919988072
10,multiprocessing,94.08066666666667,4138.540890698442,155.64399999999998,1.6543675285747688
10,original,155.64399999999998,4138.540890698442,155.64399999999998,1.0
10,stacking,76.41000000000001,2224.4870453387093,155.64399999999998,2.0369585132836012
20,batched_acqf_eval,86.032,40873.261356120245,171.5173333333333,1.9936457752154235
20,multiprocessing,111.816,48971.57990088368,171.5173333333333,1.5339247811881422
20,original,171.5173333333333,48971.57990088368,171.5173333333333,1.0
20,stacking,106.636,54602.87414648433,171.5173333333333,1.608437425759906
